000359934,5
001821420,0
004818054,4
011603980,0
001905680,3
004311280,4
012404000,2
010438843,4
005637734,2
002516407,0
003307280,4
011526007,3
005239072,4
004742120,3
011340288,3
005159337,3
005332407,3
002241000,6
004317294,0
000046280,0
004552400,4
002021400,2
010223767,6
011326080,4
003934614,4
000455174,4
004855047,6
003316894,3
005738807,4
001549894,2
010419920,0
003403857,2
004353174,6
002723534,3
000812598,3
011631117,6
002154017,4
002551974,2
002414574,3
002127847,2
013847328,0
010224243,4
014601640,2
002604920,4
001759754,2
000150854,3
000954534,2
002206014,0
005718367,3
010300163,6
011500040,0
003618000,3
002148094,3
010805360,4
000856334,4
003314854,0
010730723,6
013925480,2
001604640,2
012317840,2
000116560,4
000401054,2
002629654,3
000901567,3
010605600,4
003446574,0
010156083,3
004619614,4
004540360,4
001059240,4
003420687,6
002006160,4
004418334,2
002639600,0
010620475,3
004519160,2
010955360,2
001345207,3
000607974,4
001425880,0
015337240,4
012347000,3
003921207,2
003637840,4
005923627,3
003907774,4
000444054,4
002144977,4
015251560,3
000059880,3
005221727,4
000217360,2
013610680,4
004513880,2
004630654,3
010205440,4
004722480,4
010123320,2
002302057,4
002338014,3
000141494,3
000652814,5
010102537,3
014005640,4
000643974,4
003729254,3
011720723,3
012926720,6
014001000,3
011437680,6
010226800,4
004643374,5
004957440,5
000513320,3
004425334,3
012422360,3
005231565,4
002927520,4
011450480,2
004424374,4
011441497,4
000105880,2
001954560,3
002300417,4
011730883,4
004946320,3
002252017,3
010028014,4
013957240,0
010014374,3
004329400,2
002338374,4
012421760,2
012331480,3
010658723,0
001610960,3
001055020,5
003815934,4
003315480,2
012554740,5
000921720,6
005207737,4
004936934,2
012019363,6
002518734,2
005727614,4
004523000,2
003256320,0
000451774,3
004313680,6
002613894,3
000427294,4
004141880,3
000450454,2
000658734,3
005524454,4
011524247,2
004242574,0
005841913,5
012024040,2
001030334,2
012904560,6
000746734,3
000947327,4
013607568,2
004245040,6
010027534,3
002640847,4
012048128,0
001519934,4
011743763,4
002818854,3
005031040,4
002020400,6
001847600,4
004850694,4
003012143,0
000852880,6
010724803,4
003539527,3
003659374,3
000620800,4
010206973,0
003210880,3
001335200,3
010310407,3
012943150,2
000510760,4
003723054,2
015143720,2
010702094,4
011457120,3
014525280,2
004850214,3
002905934,2
000429620,2
004949960,3
011613697,4
011304200,2
003210247,2
003714360,2
010242118,2
004924334,0
002020680,4
011506440,3
003424334,2
001807000,3
010519417,4
010727800,4
013327047,3
004157440,3
003715767,6
002802360,2
001846440,2
013152487,4
014611480,4
000505440,3
005250600,4
004034294,4
002249887,4
002816934,4
000738534,2
004723374,2
001740654,3
003150857,3
002516934,2
011230520,3
011004800,4
011058967,4
002315574,2
000207560,4
014427000,4
000326680,3
001305880,4
004447734,0
002410291,4
003125214,3
010431760,6
004441414,6
014403887,0
010543574,4
001113440,6
000909927,3
012559640,3
004825734,2
004951200,4
011346520,4
013949200,0
000029301,4
004331934,6
013925520,2
000837207,4
003314534,2
010247814,4
002712120,4
003948807,6
000426174,6
000452240,3
000531367,2
000621960,2
001114600,4
001753894,4
010839487,6
011758680,4
000456960,3
001414094,3
001735207,6
000506080,6
011549760,4
012035248,6
002417934,3
003140160,3
010401800,3
001522614,4
002601134,4
010258723,3
011345040,3
002215207,6
012430040,5
011034640,4
003236644,0
013946567,2
005122854,4
020238240,2
004651880,0
004805814,6
000252168,2
001748527,3
003349414,4
005913697,4
013016270,4
002522600,3
004545894,4
001413047,6
003439750,5
012332520,0
001719520,3
001244640,4
003708960,2
002913374,0
011603080,0
010404607,4
010845040,4
012336688,6
012101720,2
000519240,3
010805120,0
014140967,3
011911207,0
003605560,2
001809774,0
013645920,2
002023857,4
012948087,4
000746480,4
005927974,4
001819890,0
010806840,0
013437680,0
000410614,4
001648934,3
004828414,2
000331374,6
003722087,3
012917728,0
011018537,3
000633160,4
010244174,3
003839880,2
010128697,3
002852720,0
004954200,2
010942127,6
001255040,3
013908880,3
012404727,4
011532650,4
003423394,4
001941000,6
004910007,4
003142087,3
012135680,4
000645280,6
010450167,4
012830960,0
013836768,0
011435400,4
015256413,3
012325488,6
000404334,4
004438447,2
000427934,4
011756043,4
002614174,4
010553167,2
010114657,4
012726680,2
002409374,0
004607000,4
004355094,4
005910254,3
000102534,4
010932520,2
012949160,2
014103760,4
003440294,2
000340094,2
